127.0.0.1 - - [31/Dec/2021:12:56:23 +0530] "GET HTTP/1.1 " 400 795
0:0:0:0:0:0:0:1 - - [31/Dec/2021:12:56:48 +0530] "GET HTTP/1.1 " 400 795
0:0:0:0:0:0:0:1 - - [31/Dec/2021:12:56:50 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:12:56:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Dec/2021:12:57:07 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2101
0:0:0:0:0:0:0:1 - - [31/Dec/2021:12:58:36 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:12:58:44 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:12:56 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:13:08 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:16:16 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:16:28 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:22:55 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:23:08 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2561
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:24:16 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2561
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:24:21 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:24:27 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2561
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:26:36 +0530] "GET /jspProject1/calculetor.jsp?add=Addition HTTP/1.1" 500 2561
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:26:40 +0530] "GET /jspProject1/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:26:47 +0530] "GET /jspProject1/calculetor.jsp?number1=894&number2=654&add=Addition HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [31/Dec/2021:13:27:28 +0530] "GET /jspProject1/calculetor.jsp?number1=400&number2=3&div=Division HTTP/1.1" 200 169
